stemid,plotid,no,species,azimuth,distance ,D62,D67,D89,D94,D99,D04,D09
292,7093,61,Tsca,104.9917339,13.46713737,,,11.2,11.1,11.3,11.1,
293,7093,10,Tsca,116.1495037,15.4485715,35.5,36.8,43.8,45.7,47.3,47.65,50.8
294,7093,12,Tiam,117.4538704,11.76131817,37.8,38.8,45.1,45.2,45.8,46.2,46.2
295,7093,11,Tsca,119.1633083,13.30246191,34.7,35.8,41.3,41.9,42.9,43.9,44.7
298,7093,13,Tsca,124.3269022,10.29831248,16.7,17.2,18.9,18.6,18.7,18.9,19.3
297,7093,14,Belu,125.1119996,9.307351564,46.7,48,51.9,52.4,53.8,53.5,54.7
296,7093,62,Tsca,127.3006339,5.802936498,,,9.3,9.3,9.6,9.2,9.3
299,7093,18,Acsa,136.5202574,10.11479983,31.4,31.7,36.5,34.6,35,35.3,37.4
302,7093,20,Belu,137.9945179,14.80707481,38.1,38.6,40.2,39.9,40.4,40.42,41.3
303,7093,19,Tsca,138.6655291,13.51767666,18.2,19,22.6,23.5,23.4,24,24.3
304,7093,63,Tsca,151.114448,10.70187098,,,12.3,13,12.9,12.9,12.6
300,7093,15,Tsca,152.8430482,4.302215418,29.2,30.2,34.7,35.7,36.3,37.8,37.8
305,7093,930,Tsca,158.7316525,17.17849261,,,33.1,33.6,33.9,33.98,35.2
307,7093,21,Acsa,163.4239391,14.43963285,38.3,39.1,45.5,45.9,47.1,47.4,48.2
310,7093,929,Acsa,165.1816139,16.94224018,,,50.1,50.3,50.1,51.9,52
308,7093,22,Tsca,166.1179978,13.63997694,15.4,16,18.8,19.4,19.4,19.8,20
311,7093,27,Tsca,172.5412531,8.998817862,,12.7,14.2,14.4,14.4,14.4,14.3
312,7093,23,Tsca,178.0505965,16.08955111,22.6,23.3,25.5,25.9,26,26.3,26.5
306,7093,17,Acsa,181.5071547,4.552552507,28.1,28.1,,,,,
315,7093,908,Tsca,186.5310874,17.17907121,,,15,14.9,,,
313,7093,24,Belu,186.9460003,16.3883525,30.2,30.7,33.2,33.2,33.6,34.2,34.2
316,7093,25,Tsca,189.5799942,13.86924045,21.8,22.6,25.9,26.7,27.1,26.8,26.8
301,7093,16,Tsca,189.6869597,2.110542752,29.9,30.4,33.2,34.1,34.1,34.7,34.9
314,7093,28,Tsca,193.997431,9.247096269,60.1,61.4,69.2,69.6,70.8,71.9,72.7
319,7093,29,Belu,204.5768003,13.21247658,25.4,25.6,26.4,26.1,26.3,26.8,26.6
317,7093,36,Acsa,209.7051686,7.027517504,28.9,28.9,31.2,,,,
309,7093,26,Acru,212.2952531,2.932832425,41.4,43.9,,,,,
322,7093,911,Tsca,215.6336642,18.51277138,,,35.4,36.4,37.5,37.71,38.1
321,7093,30,Tsca,216.9628981,15.43767992,40.3,41.6,49.4,50.6,52.5,54.4,55.7
324,7093,912,Tsca,218.663785,20.63536711,,,25.2,25.5,25.1,25.09,
325,7093,913,Belu,219.3468857,21.56376551,,,35.2,35.8,36.8,36.96,38.6
323,7093,31,Tsca,219.5818565,15.63554818,23.8,23.8,23.8,,,,
